Entity,Code,Year,Annual precipitation
Albania,ALB,1972,1560.9259
Albania,ALB,1973,1394.3987
Albania,ALB,1974,1467.9492
Albania,ALB,1975,1009.7538
Albania,ALB,1976,1436.3872
Albania,ALB,1977,1143.9727
Albania,ALB,1978,1482.7367
Albania,ALB,1979,1640.7605
Albania,ALB,1980,1536.8488
Albania,ALB,1981,1477.3358
Albania,ALB,1982,1025.5452
Albania,ALB,1983,1044.4482
Albania,ALB,1984,1111.1531
Albania,ALB,1985,1287.6998
Albania,ALB,1986,1236.4349
Albania,ALB,1987,1268.4072
Albania,ALB,1988,1081.6216
Albania,ALB,1989,1093.4076
Albania,ALB,1990,966.8653
Albania,ALB,1991,1166.1395
Albania,ALB,1992,1007.95886
Albania,ALB,1993,1104.6388
Albania,ALB,1994,940.75476
Albania,ALB,1995,1412.1289
Albania,ALB,1996,1528.0774
Albania,ALB,1997,979.56946
Albania,ALB,1998,1272.2244
Albania,ALB,1999,1320.0922
Albania,ALB,2000,994.6187
Albania,ALB,2001,1179.969
Albania,ALB,2002,1286.1083
Albania,ALB,2003,1195.5265
Albania,ALB,2004,1518.797
Albania,ALB,2005,1505.5068
Albania,ALB,2006,1110.4503
Albania,ALB,2007,1092.2379
Albania,ALB,2008,1126.1652
Albania,ALB,2009,1534.6018
Albania,ALB,2010,1938.1714
Albania,ALB,2011,871.21857
Albania,ALB,2012,1391.6102
Albania,ALB,2013,1419.0454
Albania,ALB,2014,1417.2703
Albania,ALB,2015,1184.5548
Albania,ALB,2016,1565.3773
Albania,ALB,2017,1175.3209
Albania,ALB,2018,1559.2733
Albania,ALB,2019,1282.0195
Albania,ALB,2020,1159.1439
Albania,ALB,2021,1582.394
Albania,ALB,2022,1240.5981
Albania,ALB,2023,1461.8156
Albania,ALB,2024,1241.6488
Algeria,DZA,1940,45.775917
Algeria,DZA,1941,50.956352
Algeria,DZA,1942,65.746994
Algeria,DZA,1943,103.32411
Algeria,DZA,1944,51.77805
Algeria,DZA,1945,40.778362
Algeria,DZA,1946,48.285313
Algeria,DZA,1947,87.52794
Algeria,DZA,1948,56.281937
Algeria,DZA,1949,71.78974
Algeria,DZA,1950,59.042416
Algeria,DZA,1951,98.74313
Algeria,DZA,1952,60.11654
Algeria,DZA,1953,86.76343
Algeria,DZA,1954,69.50868
Algeria,DZA,1955,72.11965
Algeria,DZA,1956,64.84704
Algeria,DZA,1957,101.28679
Algeria,DZA,1958,76.27597
Algeria,DZA,1959,57.696926
Algeria,DZA,1960,67.35396
Algeria,DZA,1961,42.23946
Algeria,DZA,1962,67.89266
Algeria,DZA,1963,69.612625
Algeria,DZA,1964,72.322365
Algeria,DZA,1965,110.74222
Algeria,DZA,1966,59.566162
Algeria,DZA,1967,84.247856
Algeria,DZA,1968,65.43986
Algeria,DZA,1969,115.89997
Algeria,DZA,1970,55.556103
Algeria,DZA,1971,100.06208
Algeria,DZA,1972,131.33795
Algeria,DZA,1973,85.82263
Algeria,DZA,1974,72.26362
Algeria,DZA,1975,79.93573
Algeria,DZA,1976,111.07078
Algeria,DZA,1977,65.27624
Algeria,DZA,1978,58.536934
Algeria,DZA,1979,88.61603
Algeria,DZA,1980,90.29178
Algeria,DZA,1981,52.10946
Algeria,DZA,1982,88.22629
Algeria,DZA,1983,35.039722
Algeria,DZA,1984,62.851482
Algeria,DZA,1985,75.44889
Algeria,DZA,1986,81.62082
Algeria,DZA,1987,59.1415
Algeria,DZA,1988,72.70337
Algeria,DZA,1989,57.851498
Algeria,DZA,1990,82.725784
Algeria,DZA,1991,78.73807
Algeria,DZA,1992,68.25461
Algeria,DZA,1993,56.390423
Algeria,DZA,1994,79.09136
Algeria,DZA,1995,66.04173
Algeria,DZA,1996,87.57355
Algeria,DZA,1997,67.35085
Algeria,DZA,1998,53.86391
Algeria,DZA,1999,74.240456
Algeria,DZA,2000,40.600086
Algeria,DZA,2001,44.693207
Algeria,DZA,2002,56.14827
Algeria,DZA,2003,86.49304
Algeria,DZA,2004,86.66942
Algeria,DZA,2005,66.49743
Algeria,DZA,2006,82.4783
Algeria,DZA,2007,64.32391
Algeria,DZA,2008,77.30029
Algeria,DZA,2009,87.21048
Algeria,DZA,2010,64.77627
Algeria,DZA,2011,82.46702
Algeria,DZA,2012,73.921036
Algeria,DZA,2013,67.78823
Algeria,DZA,2014,73.53466
Algeria,DZA,2015,70.86002
Algeria,DZA,2016,62.840637
Algeria,DZA,2017,57.701984
Algeria,DZA,2018,89.59452
Algeria,DZA,2019,71.09156
Algeria,DZA,2020,50.637352
Algeria,DZA,2021,47.64252
Algeria,DZA,2022,42.709076
Algeria,DZA,2023,41.43739
Algeria,DZA,2024,50.524693
American Samoa,ASM,1940,2582.8018
American Samoa,ASM,1941,3576.4675
American Samoa,ASM,1942,2255.6248
American Samoa,ASM,1943,1870.6226
American Samoa,ASM,1944,2246.8262
American Samoa,ASM,1945,2193.1218
American Samoa,ASM,1946,2220.7756
American Samoa,ASM,1947,2615.7952
American Samoa,ASM,1948,2426.796
American Samoa,ASM,1949,1878.7852
American Samoa,ASM,1950,1723.4554
American Samoa,ASM,1951,2165.9976
American Samoa,ASM,1952,3165.9106
American Samoa,ASM,1953,2469.2974
American Samoa,ASM,1954,2108.5786
American Samoa,ASM,1955,2222.224
American Samoa,ASM,1956,2043.9377
American Samoa,ASM,1957,3019.8164
American Samoa,ASM,1958,2914.6738
American Samoa,ASM,1959,2841.8828
American Samoa,ASM,1960,2865.3394
American Samoa,ASM,1961,2322.832
American Samoa,ASM,1962,2698.5835
American Samoa,ASM,1963,2214.4165
American Samoa,ASM,1964,2707.5547
American Samoa,ASM,1965,2279.0088
American Samoa,ASM,1966,2309.3567
American Samoa,ASM,1967,2553.0645
American Samoa,ASM,1968,2022.0385
American Samoa,ASM,1969,1769.2441
American Samoa,ASM,1970,2306.5957
American Samoa,ASM,1971,2073.2573
American Samoa,ASM,1972,2277.6355
American Samoa,ASM,1973,3201.0146
American Samoa,ASM,1974,1884.2115
American Samoa,ASM,1975,1974.8878
American Samoa,ASM,1976,2112.7043
American Samoa,ASM,1977,2177.6084
American Samoa,ASM,1978,3180.9512
American Samoa,ASM,1979,1994.833
American Samoa,ASM,1980,2060.4
American Samoa,ASM,1981,2556.7493
American Samoa,ASM,1982,1900.1998
American Samoa,ASM,1983,1703.7296
American Samoa,ASM,1984,2511.9324
American Samoa,ASM,1985,1971.1991
American Samoa,ASM,1986,2517.7173
American Samoa,ASM,1987,1937.6373
American Samoa,ASM,1988,2767.2559
American Samoa,ASM,1989,2145.607
American Samoa,ASM,1990,2257.76
American Samoa,ASM,1991,2357.712
American Samoa,ASM,1992,2198.0105
American Samoa,ASM,1993,2210.2021
American Samoa,ASM,1994,2621.314
American Samoa,ASM,1995,2689.4587
American Samoa,ASM,1996,2670.9329
American Samoa,ASM,1997,2204.8435
American Samoa,ASM,1998,1765.4896
American Samoa,ASM,1999,2487.1692
American Samoa,ASM,2000,2203.249
American Samoa,ASM,2001,2771.803
American Samoa,ASM,2002,2395.4333
American Samoa,ASM,2003,2818.6455
American Samoa,ASM,2004,2282.7883
American Samoa,ASM,2005,2590.8813
American Samoa,ASM,2006,3362.1445
American Samoa,ASM,2007,3327.3755
American Samoa,ASM,2008,2525.9495
American Samoa,ASM,2009,2241.5132
American Samoa,ASM,2010,2727.9854
American Samoa,ASM,2011,2369.8025
American Samoa,ASM,2012,2674.3115
American Samoa,ASM,2013,2718.9216
American Samoa,ASM,2014,2636.4995
American Samoa,ASM,2015,2454.2407
American Samoa,ASM,2016,2685.0376
American Samoa,ASM,2017,2948.183
American Samoa,ASM,2018,2898.1572
American Samoa,ASM,2019,2451.5457
American Samoa,ASM,2020,3319.2883
American Samoa,ASM,2021,2049.9688
American Samoa,ASM,2022,2129.22
American Samoa,ASM,2023,2391.7676
American Samoa,ASM,2024,2631.7673
Andorra,AND,1940,899.67535
Andorra,AND,1941,713.31024
Andorra,AND,1942,847.24713
Andorra,AND,1943,953.0392
Andorra,AND,1944,867.1007
Andorra,AND,1945,774.51324
Andorra,AND,1946,857.9197
Andorra,AND,1947,913.88513
Andorra,AND,1948,861.742
Andorra,AND,1949,806.76746
Andorra,AND,1950,826.71545
Andorra,AND,1951,1083.312
Andorra,AND,1952,899.1509
Andorra,AND,1953,776.14496
Andorra,AND,1954,919.44507
Andorra,AND,1955,920.372
Andorra,AND,1956,881.691
Andorra,AND,1957,858.8743
Andorra,AND,1958,895.1311
Andorra,AND,1959,1080.3528
Andorra,AND,1960,1121.4647
Andorra,AND,1961,794.39734
Andorra,AND,1962,932.83655
Andorra,AND,1963,1000.35095
Andorra,AND,1964,849.53595
Andorra,AND,1965,1150.5232
Andorra,AND,1966,983.14856
Andorra,AND,1967,949.58496
Andorra,AND,1968,1013.3991
Andorra,AND,1969,1165.392
Andorra,AND,1970,971.0836
Andorra,AND,1971,1158.1956
Andorra,AND,1972,1277.8959
Andorra,AND,1973,932.4846
Andorra,AND,1974,1148.3335
Andorra,AND,1975,919.08167
Andorra,AND,1976,1035.224
Andorra,AND,1977,1117.4489
Andorra,AND,1978,958.17944
Andorra,AND,1979,1107.8053
Andorra,AND,1980,1077.1694
Andorra,AND,1981,1110.8589
Andorra,AND,1982,1104.4407
Andorra,AND,1983,800.7784
Andorra,AND,1984,936.842
Andorra,AND,1985,888.4335
Andorra,AND,1986,918.169
Andorra,AND,1987,1040.0658
Andorra,AND,1988,866.5905
Andorra,AND,1989,797.4825
Andorra,AND,1990,904.0699
Andorra,AND,1991,841.78827
Andorra,AND,1992,1111.6973
Andorra,AND,1993,845.1414
Andorra,AND,1994,843.5249
Andorra,AND,1995,970.562
Andorra,AND,1996,1216.6423
Andorra,AND,1997,885.68494
Andorra,AND,1998,903.27454
Andorra,AND,1999,912.49274
Andorra,AND,2000,847.94714
Andorra,AND,2001,794.0216
Andorra,AND,2002,1100.8854
Andorra,AND,2003,1122.6177
Andorra,AND,2004,877.53296
Andorra,AND,2005,932.43695
Andorra,AND,2006,760.8566
Andorra,AND,2007,804.677
Andorra,AND,2008,1138.054
Andorra,AND,2009,995.1706
Andorra,AND,2010,977.2682
Andorra,AND,2011,882.8163
Andorra,AND,2012,876.6279
Andorra,AND,2013,1236.5055
Andorra,AND,2014,1093.6527
Andorra,AND,2015,887.8727
Andorra,AND,2016,915.35
Andorra,AND,2017,929.63794
Andorra,AND,2018,1262.7611
Andorra,AND,2019,950.49475
Andorra,AND,2020,1088.4905
Andorra,AND,2021,935.5659
Andorra,AND,2022,867.36487
Andorra,AND,2023,961.77576
Andorra,AND,2024,1054.327
Angola,AGO,1940,967.9678
Angola,AGO,1941,758.524
Angola,AGO,1942,900.0254
Angola,AGO,1943,1026.0813
Angola,AGO,1944,962.7074
Angola,AGO,1945,1069.5765
Angola,AGO,1946,836.7836
Angola,AGO,1947,985.5653
Angola,AGO,1948,1328.6415
Angola,AGO,1949,1178.0437
Angola,AGO,1950,1292.2087
Angola,AGO,1951,1398.972
Angola,AGO,1952,1268.017
Angola,AGO,1953,1202.4268
Angola,AGO,1954,701.7239
Angola,AGO,1955,985.8308
Angola,AGO,1956,1005.0509
Angola,AGO,1957,1322.0735
Angola,AGO,1958,1023.92395
Angola,AGO,1959,1314.609
Angola,AGO,1960,1335.0513
Angola,AGO,1961,1374.2025
Angola,AGO,1962,1198.4623
Angola,AGO,1963,1257.6635
Angola,AGO,1964,1085.1896
Angola,AGO,1965,1208.9196
Angola,AGO,1966,1195.1332
Angola,AGO,1967,1325.4651
Angola,AGO,1968,1148.676
Angola,AGO,1969,1335.7281
Angola,AGO,1970,1138.7148
Angola,AGO,1971,1065.7479
Angola,AGO,1972,1124.3585
Angola,AGO,1973,1014.4578
Angola,AGO,1974,1127.1802
Angola,AGO,1975,1086.1262
Angola,AGO,1976,1295.4318
Angola,AGO,1977,1128.4703
Angola,AGO,1978,1044.6252
Angola,AGO,1979,1169.9357
Angola,AGO,1980,888.47595
Angola,AGO,1981,974.29236
Angola,AGO,1982,1105.6455
Angola,AGO,1983,1083.6991
Angola,AGO,1984,1177.4454
Angola,AGO,1985,967.005
Angola,AGO,1986,1205.6465
Angola,AGO,1987,1099.932
Angola,AGO,1988,1266.3539
Angola,AGO,1989,1041.7375
Angola,AGO,1990,1219.2151
Angola,AGO,1991,1130.2396
Angola,AGO,1992,1095.7433
Angola,AGO,1993,1216.9558
Angola,AGO,1994,1082.4252
Angola,AGO,1995,1115.6084
Angola,AGO,1996,1019.3723
Angola,AGO,1997,1127.5267
Angola,AGO,1998,1176.1207
Angola,AGO,1999,1231.7241
Angola,AGO,2000,1062.7955
Angola,AGO,2001,1164.2678
Angola,AGO,2002,1238.1097
Angola,AGO,2003,1139.8489
Angola,AGO,2004,1152.788
Angola,AGO,2005,1132.4497
Angola,AGO,2006,1222.4216
Angola,AGO,2007,1101.8629
Angola,AGO,2008,1147.1775
Angola,AGO,2009,1145.4615
Angola,AGO,2010,1204.3665
Angola,AGO,2011,1232.9161
Angola,AGO,2012,1059.0887
Angola,AGO,2013,1077.3447
Angola,AGO,2014,1103.3508
Angola,AGO,2015,1091.4386
Angola,AGO,2016,1179.3586
Angola,AGO,2017,1058.1339
Angola,AGO,2018,1127.7213
Angola,AGO,2019,1062.6794
Angola,AGO,2020,1213.8004
Angola,AGO,2021,972.6797
Angola,AGO,2022,1055.8431
Angola,AGO,2023,1187.2617
Angola,AGO,2024,1118.625
Anguilla,AIA,1940,1280.9163
Anguilla,AIA,1941,1236.5475
Anguilla,AIA,1942,1369.401
Anguilla,AIA,1943,835.7687
Anguilla,AIA,1944,902.3819
Anguilla,AIA,1945,1018.77783
Anguilla,AIA,1946,834.4784
Anguilla,AIA,1947,876.2188
Anguilla,AIA,1948,1223.5795
Anguilla,AIA,1949,892.59717
Anguilla,AIA,1950,858.2649
Anguilla,AIA,1951,944.49615
Anguilla,AIA,1952,692.297
Anguilla,AIA,1953,661.1824
Anguilla,AIA,1954,894.515
Anguilla,AIA,1955,831.77563
Anguilla,AIA,1956,648.9668
Anguilla,AIA,1957,693.5415
Anguilla,AIA,1958,821.7907
Anguilla,AIA,1959,662.26575
Anguilla,AIA,1960,868.4816
Anguilla,AIA,1961,934.721
Anguilla,AIA,1962,766.01984
Anguilla,AIA,1963,754.74927
Anguilla,AIA,1964,657.18744
Anguilla,AIA,1965,787.14655
Anguilla,AIA,1966,709.69006
Anguilla,AIA,1967,605.5508
Anguilla,AIA,1968,576.7355
Anguilla,AIA,1969,922.32324
Anguilla,AIA,1970,880.4121
Anguilla,AIA,1971,674.3298
Anguilla,AIA,1972,759.1543
Anguilla,AIA,1973,853.05023
Anguilla,AIA,1974,970.77655
Anguilla,AIA,1975,781.682
Anguilla,AIA,1976,728.11414
Anguilla,AIA,1977,836.59937
Anguilla,AIA,1978,806.56055
Anguilla,AIA,1979,990.4995
Anguilla,AIA,1980,647.3989
Anguilla,AIA,1981,1067.3733
Anguilla,AIA,1982,901.6237
Anguilla,AIA,1983,952.693
Anguilla,AIA,1984,981.8783
Anguilla,AIA,1985,812.9816
Anguilla,AIA,1986,821.9795
Anguilla,AIA,1987,1270.5441
Anguilla,AIA,1988,679.07904
Anguilla,AIA,1989,804.62646
Anguilla,AIA,1990,797.9136
Anguilla,AIA,1991,681.1991
Anguilla,AIA,1992,845.5115
Anguilla,AIA,1993,720.67163
Anguilla,AIA,1994,528.3842
Anguilla,AIA,1995,1013.1168
Anguilla,AIA,1996,980.5508
Anguilla,AIA,1997,794.0216
Anguilla,AIA,1998,995.17346
Anguilla,AIA,1999,1449.1224
Anguilla,AIA,2000,668.23676
Anguilla,AIA,2001,681.1008
Anguilla,AIA,2002,665.8478
Anguilla,AIA,2003,995.43
Anguilla,AIA,2004,1011.5881
Anguilla,AIA,2005,1165.3815
Anguilla,AIA,2006,908.2813
Anguilla,AIA,2007,975.99316
Anguilla,AIA,2008,970.068
Anguilla,AIA,2009,809.4664
Anguilla,AIA,2010,1402.9941
Anguilla,AIA,2011,1269.9395
Anguilla,AIA,2012,895.4325
Anguilla,AIA,2013,947.05774
Anguilla,AIA,2014,939.0221
Anguilla,AIA,2015,585.4416
Anguilla,AIA,2016,940.70435
Anguilla,AIA,2017,1156.1832
Anguilla,AIA,2018,703.6123
Anguilla,AIA,2019,710.78015
Anguilla,AIA,2020,838.1157
Anguilla,AIA,2021,673.8062
Anguilla,AIA,2022,904.4542
Anguilla,AIA,2023,988.83154
Anguilla,AIA,2024,1160.3604
Antigua and Barbuda,ATG,1940,1374.179
Antigua and Barbuda,ATG,1941,1336.5345
Antigua and Barbuda,ATG,1942,1820.1857
Antigua and Barbuda,ATG,1943,878.6755
Antigua and Barbuda,ATG,1944,1056.7322
Antigua and Barbuda,ATG,1945,1094.0942
Antigua and Barbuda,ATG,1946,903.58545
Antigua and Barbuda,ATG,1947,918.5457
Antigua and Barbuda,ATG,1948,1377.1534
Antigua and Barbuda,ATG,1949,853.0846
Antigua and Barbuda,ATG,1950,961.0977
Antigua and Barbuda,ATG,1951,989.72797
Antigua and Barbuda,ATG,1952,747.03314
Antigua and Barbuda,ATG,1953,711.6594
Antigua and Barbuda,ATG,1954,849.37573
Antigua and Barbuda,ATG,1955,858.119
Antigua and Barbuda,ATG,1956,713.8891
Antigua and Barbuda,ATG,1957,777.2827
Antigua and Barbuda,ATG,1958,960.145
Antigua and Barbuda,ATG,1959,682.07935
Antigua and Barbuda,ATG,1960,960.9661
Antigua and Barbuda,ATG,1961,1142.7765
Antigua and Barbuda,ATG,1962,857.7728
Antigua and Barbuda,ATG,1963,974.4129
Antigua and Barbuda,ATG,1964,821.7297
Antigua and Barbuda,ATG,1965,828.07544
Antigua and Barbuda,ATG,1966,830.6084
Antigua and Barbuda,ATG,1967,725.91974
Antigua and Barbuda,ATG,1968,678.34283
Antigua and Barbuda,ATG,1969,802.5675
Antigua and Barbuda,ATG,1970,891.8695
Antigua and Barbuda,ATG,1971,639.4005
Antigua and Barbuda,ATG,1972,845.22437
Antigua and Barbuda,ATG,1973,918.5562
Antigua and Barbuda,ATG,1974,1020.08057
Antigua and Barbuda,ATG,1975,801.1637
Antigua and Barbuda,ATG,1976,804.0686
Antigua and Barbuda,ATG,1977,890.27783
Antigua and Barbuda,ATG,1978,865.9706
Antigua and Barbuda,ATG,1979,1174.6693
Antigua and Barbuda,ATG,1980,661.7832
Antigua and Barbuda,ATG,1981,1029.4304
Antigua and Barbuda,ATG,1982,948.102
Antigua and Barbuda,ATG,1983,836.4887
Antigua and Barbuda,ATG,1984,875.0744
Antigua and Barbuda,ATG,1985,841.34863
Antigua and Barbuda,ATG,1986,857.4753
Antigua and Barbuda,ATG,1987,1271.3623
Antigua and Barbuda,ATG,1988,846.7197
Antigua and Barbuda,ATG,1989,814.76306
Antigua and Barbuda,ATG,1990,958.3015
Antigua and Barbuda,ATG,1991,700.8486
Antigua and Barbuda,ATG,1992,833.8175
Antigua and Barbuda,ATG,1993,831.9111
Antigua and Barbuda,ATG,1994,645.7777
Antigua and Barbuda,ATG,1995,1162.9716
Antigua and Barbuda,ATG,1996,1063.8352
Antigua and Barbuda,ATG,1997,763.99805
Antigua and Barbuda,ATG,1998,1225.8376
Antigua and Barbuda,ATG,1999,1160.9526
Antigua and Barbuda,ATG,2000,745.75903
Antigua and Barbuda,ATG,2001,699.7986
Antigua and Barbuda,ATG,2002,749.26184
Antigua and Barbuda,ATG,2003,898.901
Antigua and Barbuda,ATG,2004,1451.1862
Antigua and Barbuda,ATG,2005,1297.6675
Antigua and Barbuda,ATG,2006,1051.3325
Antigua and Barbuda,ATG,2007,955.98126
Antigua and Barbuda,ATG,2008,968.1244
Antigua and Barbuda,ATG,2009,892.93384
Antigua and Barbuda,ATG,2010,1300.6764
Antigua and Barbuda,ATG,2011,1365.6368
Antigua and Barbuda,ATG,2012,1063.036
Antigua and Barbuda,ATG,2013,979.3053
Antigua and Barbuda,ATG,2014,914.90936
Antigua and Barbuda,ATG,2015,697.52313
Antigua and Barbuda,ATG,2016,1043.8137
Antigua and Barbuda,ATG,2017,1044.4508
Antigua and Barbuda,ATG,2018,765.3036
Antigua and Barbuda,ATG,2019,756.0749
Antigua and Barbuda,ATG,2020,929.34326
Antigua and Barbuda,ATG,2021,626.03186
Antigua and Barbuda,ATG,2022,857.7557
Antigua and Barbuda,ATG,2023,966.1217
Antigua and Barbuda,ATG,2024,1081.7661
Argentina,ARG,1940,999.1098
Argentina,ARG,1941,776.3971
Argentina,ARG,1942,757.7333
Argentina,ARG,1943,765.96906
Argentina,ARG,1944,898.2748
Argentina,ARG,1945,696.94666
Argentina,ARG,1946,897.5387
Argentina,ARG,1947,827.30695
Argentina,ARG,1948,903.0926
Argentina,ARG,1949,816.95667
Argentina,ARG,1950,698.47473
Argentina,ARG,1951,948.24634
Argentina,ARG,1952,763.1985
Argentina,ARG,1953,942.1444
Argentina,ARG,1954,871.9115
Argentina,ARG,1955,804.0788
Argentina,ARG,1956,854.0224
Argentina,ARG,1957,897.2865
Argentina,ARG,1958,868.2246
Argentina,ARG,1959,906.47485
Argentina,ARG,1960,723.97845
Argentina,ARG,1961,773.921
Argentina,ARG,1962,632.20087
Argentina,ARG,1963,867.52936
Argentina,ARG,1964,684.3423
Argentina,ARG,1965,699.2885
Argentina,ARG,1966,756.89764
Argentina,ARG,1967,926.60474
Argentina,ARG,1968,840.5514
Argentina,ARG,1969,837.70917
Argentina,ARG,1970,771.4383
Argentina,ARG,1971,736.53467
Argentina,ARG,1972,889.0126
Argentina,ARG,1973,905.55646
Argentina,ARG,1974,790.7809
Argentina,ARG,1975,831.61096
Argentina,ARG,1976,809.02814
Argentina,ARG,1977,825.66394
Argentina,ARG,1978,832.4155
Argentina,ARG,1979,861.7681
Argentina,ARG,1980,848.9574
Argentina,ARG,1981,840.73517
Argentina,ARG,1982,869.18634
Argentina,ARG,1983,832.0623
Argentina,ARG,1984,1028.6696
Argentina,ARG,1985,955.4524
Argentina,ARG,1986,903.6062
Argentina,ARG,1987,858.0703
Argentina,ARG,1988,694.78125
Argentina,ARG,1989,728.85986
Argentina,ARG,1990,900.7256
Argentina,ARG,1991,956.6408
Argentina,ARG,1992,955.08905
Argentina,ARG,1993,840.84906
Argentina,ARG,1994,823.37427
Argentina,ARG,1995,687.02277
Argentina,ARG,1996,827.4467
Argentina,ARG,1997,915.9222
Argentina,ARG,1998,850.0312
Argentina,ARG,1999,849.5214
Argentina,ARG,2000,955.05334
Argentina,ARG,2001,936.0044
Argentina,ARG,2002,946.439
Argentina,ARG,2003,749.5623
Argentina,ARG,2004,734.1446
Argentina,ARG,2005,742.7508
Argentina,ARG,2006,756.0748
Argentina,ARG,2007,778.8111
Argentina,ARG,2008,683.702
Argentina,ARG,2009,675.8896
Argentina,ARG,2010,701.8448
Argentina,ARG,2011,678.87366
Argentina,ARG,2012,767.5073
Argentina,ARG,2013,621.6102
Argentina,ARG,2014,858.9137
Argentina,ARG,2015,817.439
Argentina,ARG,2016,804.3934
Argentina,ARG,2017,822.97986
Argentina,ARG,2018,735.38544
Argentina,ARG,2019,693.6649
Argentina,ARG,2020,578.3959
Argentina,ARG,2021,606.77686
Argentina,ARG,2022,538.72076
Argentina,ARG,2023,618.6116
Argentina,ARG,2024,647.1716
Armenia,ARM,1940,811.2998
Armenia,ARM,1941,845.63446
Armenia,ARM,1942,833.08044
Armenia,ARM,1943,663.8461
Armenia,ARM,1944,804.45233
Armenia,ARM,1945,768.5972
Armenia,ARM,1946,829.68414
